valid_from,valid_to,rate_p_per_kwh
2026-01-17 21:00:00+00:00,2026-01-17 21:30:00+00:00,22.869
2026-01-17 21:30:00+00:00,2026-01-17 22:00:00+00:00,21.693
2026-01-17 22:00:00+00:00,2026-01-17 22:30:00+00:00,21.105
2026-01-17 22:30:00+00:00,2026-01-17 23:00:00+00:00,20.286
2026-01-17 23:00:00+00:00,2026-01-17 23:30:00+00:00,21.21
2026-01-17 23:30:00+00:00,2026-01-18 00:00:00+00:00,20.9055
2026-01-18 00:00:00+00:00,2026-01-18 00:30:00+00:00,20.622
2026-01-18 00:30:00+00:00,2026-01-18 01:00:00+00:00,21.84
2026-01-18 01:00:00+00:00,2026-01-18 01:30:00+00:00,20.895
2026-01-18 01:30:00+00:00,2026-01-18 02:00:00+00:00,20.832
2026-01-18 02:00:00+00:00,2026-01-18 02:30:00+00:00,20.076
2026-01-18 02:30:00+00:00,2026-01-18 03:00:00+00:00,19.32
2026-01-18 03:00:00+00:00,2026-01-18 03:30:00+00:00,19.2675
2026-01-18 03:30:00+00:00,2026-01-18 04:00:00+00:00,19.11
2026-01-18 04:00:00+00:00,2026-01-18 04:30:00+00:00,19.32
2026-01-18 04:30:00+00:00,2026-01-18 05:00:00+00:00,19.32
2026-01-18 05:00:00+00:00,2026-01-18 05:30:00+00:00,19.0785
2026-01-18 05:30:00+00:00,2026-01-18 06:00:00+00:00,18.69
2026-01-18 06:00:00+00:00,2026-01-18 06:30:00+00:00,19.32
2026-01-18 06:30:00+00:00,2026-01-18 07:00:00+00:00,19.425
2026-01-18 07:00:00+00:00,2026-01-18 07:30:00+00:00,21.147
2026-01-18 07:30:00+00:00,2026-01-18 08:00:00+00:00,20.475
2026-01-18 08:00:00+00:00,2026-01-18 08:30:00+00:00,20.16
2026-01-18 08:30:00+00:00,2026-01-18 09:00:00+00:00,19.95
2026-01-18 09:00:00+00:00,2026-01-18 09:30:00+00:00,19.5195
2026-01-18 09:30:00+00:00,2026-01-18 10:00:00+00:00,20.79
2026-01-18 10:00:00+00:00,2026-01-18 10:30:00+00:00,20.58
2026-01-18 10:30:00+00:00,2026-01-18 11:00:00+00:00,21.3255
2026-01-18 11:00:00+00:00,2026-01-18 11:30:00+00:00,21.693
2026-01-18 11:30:00+00:00,2026-01-18 12:00:00+00:00,21.903
